frame,timestamp,person_id,x,y,z
-1,2025/11/28-20:22:3:855,Amelia,-1780.896526,-864.218674,10.0
-1,2025/11/28-20:22:3:855,ZakariYoung,-1762.022787,-793.541175,12.0
-1,2025/11/28-20:22:3:855,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:136,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:136,Amelia,-1822.627959,-867.304024,10.0
-1,2025/11/28-20:22:4:136,ZakariYoung,-1790.682475,-794.337073,12.0
-1,2025/11/28-20:22:4:136,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:299,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:299,Amelia,-1850.53526,-869.200273,10.0
-1,2025/11/28-20:22:4:299,ZakariYoung,-1806.357768,-794.831148,12.0
-1,2025/11/28-20:22:4:299,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:313,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:313,Amelia,-1853.003775,-869.364955,10.0
-1,2025/11/28-20:22:4:313,ZakariYoung,-1807.647471,-794.874238,12.0
-1,2025/11/28-20:22:4:313,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:339,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:339,Amelia,-1857.613918,-869.67164,10.0
-1,2025/11/28-20:22:4:339,ZakariYoung,-1810.018319,-794.954563,12.0
-1,2025/11/28-20:22:4:339,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:421,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:421,Amelia,-1872.255724,-870.640246,10.0
-1,2025/11/28-20:22:4:421,ZakariYoung,-1817.324904,-795.208931,12.0
-1,2025/11/28-20:22:4:421,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:508,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:508,Amelia,-1888.161328,-871.688322,10.0
-1,2025/11/28-20:22:4:508,ZakariYoung,-1825.537209,-795.485348,12.0
-1,2025/11/28-20:22:4:508,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:817,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:817,Amelia,-1944.71147,-875.478576,10.0
